Time,Voltage
5,11.7
10,11.3
15,10.8
20,10.4
25,10
30,9.6
35,9.1
40,8.8
45,8.4
50,8.1
55,7.7
60,7.5
65,7.1
70,6.9
75,6.6
80,6.3
85,6
90,5.8
95,5.6
100,5.3
105,5.1
110,4.9
115,4.7
120,4.5
125,4.4
130,4.2
135,4
140,3.9
145,3.7
150,3.5
155,3.4
160,3.3
165,3.1
170,3
175,2.9
180,2.8
185,2.6
190,2.5
195,2.4
200,2.3
205,2.2
210,2.2
215,2.1
220,2
225,1.9
230,1.8
235,1.7
240,1.6
245,1.6
250,1.5
255,1.4
260,1.4
265,1.3
270,1.3
275,1.2
280,1.2
285,1.2
290,1.1
295,1
300,0.9
305,0.6
